coluna,registros,valores_ausentes,percentual_ausentes
dt_deletado_rnds,178451615,178451615,100.0
ds_condicao_maternal,178451615,80533793,45.12920379005816
ds_categoria,178451615,75593404,42.360728424901055
ds_via_administracao,178451615,7546759,4.229022528039323
ds_tipo_estabelecimento,178451615,7491716,4.198177752552142
ds_local_aplicacao,178451615,7491219,4.197899245686289
ds_vacina_fabricante,178451615,6917531,3.8764182660941455
sg_uf_paciente,178451615,2536082,1.4211594554636
no_uf_paciente,178451615,2514891,1.4092845279097082
co_municipio_paciente,178451615,2514891,1.4092845279097082
no_municipio_paciente,178451615,2510775,1.4069780203446185
no_estrategia,178451615,1623948,0.9100214643616423
co_estrategia_vacinacao,178451615,1276095,0.7150929959361814
sg_uf_estabelecimento,178451615,2577,0.0014440889201254917
no_municipio_estabelecimento,178451615,2577,0.0014440889201254917
ds_sistema_origem,178451615,417,0.0002336767868421925
co_vacina,178451615,0,0.0
co_cnes_estabelecimento,178451615,0,0.0
co_documento,178451615,0,0.0
tp_sexo_paciente,178451615,0,0.0
co_paciente,178451615,0,0.0
co_dose_vacina,178451615,0,0.0
dt_vacina,178451615,0,0.0
sg_imunobiologico,178451615,0,0.0
ds_nome,178451615,0,0.0
ds_tipo_dose,178451615,0,0.0
nu_idade_paciente,178451615,0,0.0
dt_entrada_rnds,178451615,0,0.0
co_sistema_origem,178451615,0,0.0
