co_vacina,sg_imunobiologico,ds_nome,quantidade_idade_valida,media_idade,mediana_idade,minimo_idade,maximo_idade,desvio_padrao_idade
33,INF3,"vacina influenza trivalente (fragmentada, inativada)",60493321,38.424849497021334,39.0,0,120,26.607455427869517
9,HB,vacina hepatite B (recombinante),11427496,33.352370633076575,34.0,0,119,24.018674526943837
25,dT,vacina adsorvida difteria e tétano adulto,11422857,39.618785475472556,38.0,0,120,19.508114383069078
22,VIP,"vacina poliomelite 1, 2 e 3 (inativada)",10601968,1.0832724641311877,0.0,0,115,2.61768305182684
14,VFA,vacina febre amarela (atenuada),8295149,15.435524786836258,4.0,0,119,18.473364304951915
42,Penta,"vacina adsorvida difteria, tétano, pertussis, hepatite B (recombinante) e Haemophilus influenzae B (conjugada)",6532068,0.15089218299625784,0.0,0,115,1.3776219656814783
26,VPC10,vacina pneumocócica 10-valente (conjugada),6248130,0.40697136583265714,0.0,0,115,1.441738740364352
24,SCR,"vacina sarampo, caxumba, rubéola (atenuada)",5835826,18.019803709020795,4.0,0,119,19.61063512870468
74,MenACWY,vacina meningocócica ACWY (conjugada),5016626,8.751416589556406,11.0,0,120,11.11269891856741
41,MenC,vacina meningocócica C (conjugada),4853557,0.9702053566075355,0.0,0,115,6.221711398617463
104,DNG,"vacina dengue 1, 2, 3 e 4 (atenuada)",4371612,12.761921918047621,12.0,0,120,6.830746130650991
45,ROTA,vacina rotavírus humano G1P[8] (atenuada),4324641,0.04674700165863479,0.0,0,114,1.1767758409332925
46,DTP,"vacina adsorvida difteria, tétano e pertussis",4321018,2.8101984300921683,4.0,0,115,2.5749796682281336
67,HPV4,"vacina papilomavírus humano 6, 11, 16 e 18 (recombinante)",3496120,13.004749264899374,9.0,0,113,8.428431737068244
34,VZ,vacina varicela (atenuada),3026335,4.276913824807894,4.0,0,112,5.146467754462409
87,COV-19 PFIZER-COMIRN,vacina covid-19,3020119,56.69312335043752,63.0,0,119,20.15097015252077
15,BCG,vacina BCG,2601380,0.23945021488594515,0.0,0,113,3.2056695076886608
57,dTpa,"vacina adsorvida difteria, tétano e pertussis (acelular)",2528591,30.140755068731956,28.0,0,109,11.017831741004755
55,HAinf,vacina adsorvida hepatite A (inativada),2346612,1.4013300878031818,1.0,0,115,2.876579081706059
